2025-12-10 12:25:02 | INFO | API request received | {"method":"student.list","uni_id":"48","filters":[]}
2025-12-10 12:25:02 | INFO | Fetching student list | {"uni_id":"48","filters":[]}
2025-12-10 12:26:31 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:26:31 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:32:00 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:32:00 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:32:03 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:32:03 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:32:19 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:32:19 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:32:20 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:32:20 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:32:21 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:32:21 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:40:16 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:40:16 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:40:55 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:40:55 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:41:00 | INFO | API request received | {"method":"student.list","uni_id":"48","filters":[]}
2025-12-10 12:41:00 | INFO | Fetching student list | {"uni_id":"48","filters":[]}
2025-12-10 12:42:02 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:42:02 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:44:21 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:44:21 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:44:22 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:44:22 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:44:40 | INFO | API request received | {"method":"wallet.list","uni_id":"48","filters":[]}
2025-12-10 12:44:40 | INFO | Fetching wallet list | {"uni_id":"48","filters":[]}
2025-12-10 12:44:48 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-10 12:44:48 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-10 12:44:48 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-10 12:45:25 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-10 12:45:25 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-10 12:45:25 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-10 12:45:26 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-10 12:45:26 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-10 12:45:26 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-11 05:14:24 | INFO | API request received | {"method":"user.list","uni_id":"","filters":[]}
2025-12-11 05:14:24 | INFO | Fetching user list | {"uni_id":"","filters":[]}
2025-12-11 05:14:34 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-11 05:14:34 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-12 05:33:32 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-12 05:33:32 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-12 05:33:36 | INFO | API request received | {"method":"student.list","uni_id":"48","filters":[]}
2025-12-12 05:33:36 | INFO | Fetching student list | {"uni_id":"48","filters":[]}
